rank_order,id,name,href,category,category_label,status,language,score,rank,standard_status,improvement_priority,instance_count,benchmark_profile,competitors,required_missing,strong_missing,top_gaps
52,farm-profit-nigeria-ha,Ribar Gona Najeriya,/ha/kayan-aiki/ribar-gona/,agriculture,Agriculture,live,ha,82,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,sources,browserOk,browser smoke not run; missing source/reference evidence; missing official/verification evidence; missing disclaimer/limitations; no verification panel
53,currency-converter-ha,Canjin Kudi,/ha/kayan-aiki/canja-kudi/,financial,"Finance, Tax & Market Data",live,ha,82,B,standard-grade,P3-monitor,1,"Tax, salary, finance calculator",Taxngr; TaxCalc.ng; TaxTim; Calc.ke,methodology; disclaimer,officialSource; verificationPanel; browserOk,browser smoke not run; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
54,livestock-feed-nigeria-yo,Oúnjẹ ẹranko Naijiria,/yo/awon-ise/ounje-eranko/,agriculture,Agriculture,live,yo,82,B,standard-grade,P3-monitor,1,Agriculture and market-data tool,FAO data tools; commodity dashboards; local extension services,currentYear,methodology; saveExport; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing methodology/breakdown; no verification panel
55,scholarship-finder-ha,Mai Nemo Tallafin Karatu,/ha/kayan-aiki/neman-tallafin-karatu/,education,Education,live,ha,82,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,browserOk,browser smoke not run; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
56,jamb-chemistry-ha,JAMB Kimiyya a Hausa,/ha/jamb/kimiyya/,education,Education,live,ha,82,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,disclaimer,currentYear; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; missing disclaimer/limitations; no verification panel
57,jamb-physics-ha,JAMB Fisiks a Hausa,/ha/jamb/fisiks/,education,Education,live,ha,82,B,standard-grade,P3-monitor,1,Education calculator or guide,school portals; grade calculators; scholarship directories,methodology; disclaimer,currentYear; browserOk,browser smoke not run; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations; no verification panel
58,zana-ukaguzi-usajili-wa-sim-sw,Ukaguzi Usajili wa SIM,/sw/zana/ukaguzi-usajili-wa-sim/,ecommerce,VAT & Business Tax,live,sw,82,B,standard-grade,P3-monitor,1,"VAT, invoice, ecommerce calculator",Taxngr; TaxCalc.ng; Zoho Invoice; Wave,methodology; disclaimer,businessCta; browserOk,browser smoke not run; stale or undated assumptions; missing methodology/breakdown; missing disclaimer/limitations; lags category-required features
59,calculateur-conges-fr,Calculateur de congés,/fr/tools/calculateur-conges,career,Career & Development,live,fr,82,B,standard-grade,P3-monitor,1,Career tool,LinkedIn tools; Indeed calculators; Resume.io,disclaimer,saveExport; download; workflowCopy; browserOk,no workflow or methodology evidence; browser smoke not run; missing official/verification evidence; missing methodology/breakdown; missing disclaimer/limitations
60,conformite-dpa-kenya-fr,Kenya DPA,/fr/tools/conformite-dpa-kenya,government,Government & Civic,live,fr,82,B,standard-grade,P3-monitor,1,Government and civic guide,official government portals; service directories,officialSource; currentYear,browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; no verification panel; weak meta description length
61,modele-demande-acces-information-fr,Demande information,/fr/tools/modele-demande-acces-information,government,Government & Civic,live,fr,82,B,standard-grade,P3-monitor,1,Government and civic guide,official government portals; service directories,officialSource; currentYear,workflowCopy; browserOk,browser smoke not run; missing official/verification evidence; stale or undated assumptions; no verification panel; weak meta description length
