"route","file","issue_id","detail"
"/sw/lesotho/","sw/lesotho/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/liberia/","sw/liberia/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/liberia/","sw/liberia/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/libya/","sw/libya/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/libya/","sw/libya/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/madagascar/","sw/madagascar/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/madagascar/","sw/madagascar/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/malawi/","sw/malawi/index.html","many_inline_light_backgrounds","18 inline light backgrounds may need token coverage."
"/sw/malawi/","sw/malawi/index.html","many_inline_dark_text_colors","17 inline dark text colors may clash in dark mode."
"/sw/malawi/kikokotoo-kodi-mshahara/","sw/malawi/kikokotoo-kodi-mshahara/index.html","many_inline_dark_text_colors","7 inline dark text colors may clash in dark mode."
"/sw/mali/","sw/mali/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/mali/","sw/mali/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/mauritania/","sw/mauritania/index.html","many_inline_light_backgrounds","7 inline light backgrounds may need token coverage."
"/sw/mauritania/","sw/mauritania/index.html","many_inline_dark_text_colors","6 inline dark text colors may clash in dark mode."
"/sw/mauritius/","sw/mauritius/index.html","many_inline_light_backgrounds","12 inline light backgrounds may need token coverage."
"/sw/mauritius/","sw/mauritius/index.html","many_inline_dark_text_colors","11 inline dark text colors may clash in dark mode."
"/sw/morocco/","sw/morocco/index.html","many_inline_light_backgrounds","108 inline light backgrounds may need token coverage."
"/sw/morocco/","sw/morocco/index.html","many_inline_dark_text_colors","78 inline dark text colors may clash in dark mode."
"/sw/mozambique/","sw/mozambique/index.html","many_inline_light_backgrounds","24 inline light backgrounds may need token coverage."
"/sw/mozambique/","sw/mozambique/index.html","many_inline_dark_text_colors","23 inline dark text colors may clash in dark mode."
"/sw/mshahara-na-kodi/","sw/mshahara-na-kodi/index.html","many_inline_light_backgrounds","105 inline light backgrounds may need token coverage."
