route,relPath,family,issue,evidence,fixCandidates
"/fr/benin/bj-vat.html","fr/benin/bj-vat.html","fr/benin","custom_mobile_nav_search","fr/benin/bj-vat.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/benin | assets/js/components/navbar.js adoption"
"/fr/blog/calculer-salaire-net-senegal/","fr/blog/calculer-salaire-net-senegal/index.html","fr/blog","missing_shared_foundation_css","fr/blog/calculer-salaire-net-senegal/index.html: Page does not link the shared CSS foundation or an equivalent bundled foundation.","assets/css/design-system.css adoption | fr/blog"
"/fr/blog/calculer-salaire-net-senegal/","fr/blog/calculer-salaire-net-senegal/index.html","fr/blog","missing_shared_navbar","fr/blog/calculer-salaire-net-senegal/index.html: Full page does not use <afro-navbar> or the shared navbar component script.","assets/js/components/navbar.js adoption | fr/blog"
"/fr/blog/calculer-salaire-net-senegal/","fr/blog/calculer-salaire-net-senegal/index.html","fr/blog","tap_targets_below_44","fr/blog/calculer-salaire-net-senegal/index.html: .topnav a is likely about 31.2px tall.","fr/blog/calculer-salaire-net-senegal/index.html | shared 44px tap target pattern"
"/fr/blog/calculer-salaire-net-senegal/","fr/blog/calculer-salaire-net-senegal/index.html","fr/blog","late_multicolumn_collapse","fr/blog/calculer-salaire-net-senegal/index.html: .field-grid keeps 2 columns until 620px. | fr/blog/calculer-salaire-net-senegal/index.html: .metrics keeps 2 columns until 620px.","fr/blog/calculer-salaire-net-senegal/index.html | shared early-collapse layout pattern"
"/fr/blog/calculer-salaire-net-senegal/","fr/blog/calculer-salaire-net-senegal/index.html","fr/blog","fixed_sidebar_320plus","fr/blog/calculer-salaire-net-senegal/index.html: .app-grid reserves a 330px sidebar until 900px.","fr/blog/calculer-salaire-net-senegal/index.html | shared sidebar collapse pattern"
"/fr/blog/complete-guide-nigeria-income-tax-2026/","fr/blog/complete-guide-nigeria-income-tax-2026/index.html","fr/blog","tap_targets_below_44","fr/blog/complete-guide-nigeria-income-tax-2026/index.html: .seo-cluster__list a is likely about 43.2px tall.","fr/blog/complete-guide-nigeria-income-tax-2026/index.html | shared 44px tap target pattern"
"/fr/blog/salaire-moyen-rdc-2026/","fr/blog/salaire-moyen-rdc-2026/index.html","fr/blog","late_multicolumn_collapse","fr/blog/salaire-moyen-rdc-2026/index.html: .rdc-kpis keeps 3 columns until 720px. | fr/blog/salaire-moyen-rdc-2026/index.html: .rdc-result-grid keeps 3 columns until 720px. | fr/blog/salaire-moyen-rdc-2026/index.html: .rdc-related-grid keeps 3 columns until 720px.","fr/blog/salaire-moyen-rdc-2026/index.html | shared early-collapse layout pattern"
"/fr/burkina-faso/bf-vat.html","fr/burkina-faso/bf-vat.html","fr/burkina-faso","tap_targets_below_44","fr/burkina-faso/bf-vat.html: a is likely about 39.2px tall.","fr/burkina-faso/bf-vat.html | shared 44px tap target pattern"
"/fr/burkina-faso/bf-vat.html","fr/burkina-faso/bf-vat.html","fr/burkina-faso","custom_mobile_nav_search","fr/burkina-faso/bf-vat.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/burkina-faso | assets/js/components/navbar.js adoption"
"/fr/burkina-faso/bf-vat/","fr/burkina-faso/bf-vat/index.html","fr/burkina-faso","tap_targets_below_44","fr/burkina-faso/bf-vat/index.html: a is likely about 39.2px tall.","fr/burkina-faso/bf-vat/index.html | shared 44px tap target pattern"
"/fr/burkina-faso/bf-vat/","fr/burkina-faso/bf-vat/index.html","fr/burkina-faso","custom_mobile_nav_search","fr/burkina-faso/bf-vat/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/burkina-faso | assets/js/components/navbar.js adoption"
"/fr/burundi/bi-paye.html","fr/burundi/bi-paye.html","fr/country-paye","tap_targets_below_44","fr/burundi/bi-paye.html: a is likely about 39.2px tall.","fr/burundi/bi-paye.html | shared 44px tap target pattern"
"/fr/burundi/bi-paye.html","fr/burundi/bi-paye.html","fr/country-paye","custom_mobile_nav_search","fr/burundi/bi-paye.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/country-paye | assets/js/components/navbar.js adoption"
"/fr/burundi/bi-paye/","fr/burundi/bi-paye/index.html","fr/burundi","tap_targets_below_44","fr/burundi/bi-paye/index.html: a is likely about 39.2px tall.","fr/burundi/bi-paye/index.html | shared 44px tap target pattern"
"/fr/burundi/bi-paye/","fr/burundi/bi-paye/index.html","fr/burundi","custom_mobile_nav_search","fr/burundi/bi-paye/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/burundi | assets/js/components/navbar.js adoption"
"/fr/burundi/bi-vat.html","fr/burundi/bi-vat.html","fr/burundi","tap_targets_below_44","fr/burundi/bi-vat.html: a is likely about 39.2px tall.","fr/burundi/bi-vat.html | shared 44px tap target pattern"
"/fr/burundi/bi-vat.html","fr/burundi/bi-vat.html","fr/burundi","custom_mobile_nav_search","fr/burundi/bi-vat.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/burundi | assets/js/components/navbar.js adoption"
"/fr/burundi/bi-vat/","fr/burundi/bi-vat/index.html","fr/burundi","tap_targets_below_44","fr/burundi/bi-vat/index.html: a is likely about 39.2px tall.","fr/burundi/bi-vat/index.html | shared 44px tap target pattern"
"/fr/burundi/bi-vat/","fr/burundi/bi-vat/index.html","fr/burundi","custom_mobile_nav_search","fr/burundi/bi-vat/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/burundi | assets/js/components/navbar.js adoption"
"/fr/business/break-even/","fr/business/break-even/index.html","fr/business","custom_mobile_nav_search","fr/business/break-even/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/business | assets/js/components/navbar.js adoption"
"/fr/business/","fr/business/index.html","fr/business","custom_mobile_nav_search","fr/business/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/business | assets/js/components/navbar.js adoption"
"/fr/business/invoice/","fr/business/invoice/index.html","fr/business","custom_mobile_nav_search","fr/business/invoice/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/business | assets/js/components/navbar.js adoption"
"/fr/business/payroll/","fr/business/payroll/index.html","fr/business","custom_mobile_nav_search","fr/business/payroll/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/business | assets/js/components/navbar.js adoption"
"/fr/business/setup/","fr/business/setup/index.html","fr/business","custom_mobile_nav_search","fr/business/setup/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/business | assets/js/components/navbar.js adoption"
"/fr/cameroon/cm-vat.html","fr/cameroon/cm-vat.html","fr/cameroon","custom_mobile_nav_search","fr/cameroon/cm-vat.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/cameroon | assets/js/components/navbar.js adoption"
"/fr/cameroon/","fr/cameroon/index.html","fr/cameroon","tap_targets_below_44","fr/cameroon/index.html: a is likely about 39.2px tall.","fr/cameroon/index.html | shared 44px tap target pattern"
"/fr/cameroon/","fr/cameroon/index.html","fr/cameroon","custom_mobile_nav_search","fr/cameroon/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/cameroon | assets/js/components/navbar.js adoption"
"/fr/cape-verde/cv-paye.html","fr/cape-verde/cv-paye.html","fr/country-paye","tap_targets_below_44","fr/cape-verde/cv-paye.html: a is likely about 39.2px tall.","fr/cape-verde/cv-paye.html | shared 44px tap target pattern"
"/fr/cape-verde/cv-paye.html","fr/cape-verde/cv-paye.html","fr/country-paye","custom_mobile_nav_search","fr/cape-verde/cv-paye.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/country-paye | assets/js/components/navbar.js adoption"
"/fr/cape-verde/cv-vat.html","fr/cape-verde/cv-vat.html","fr/cape-verde","tap_targets_below_44","fr/cape-verde/cv-vat.html: a is likely about 39.2px tall.","fr/cape-verde/cv-vat.html | shared 44px tap target pattern"
"/fr/cape-verde/cv-vat.html","fr/cape-verde/cv-vat.html","fr/cape-verde","custom_mobile_nav_search","fr/cape-verde/cv-vat.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/cape-verde | assets/js/components/navbar.js adoption"
"/fr/cape-verde/","fr/cape-verde/index.html","fr/cape-verde","tap_targets_below_44","fr/cape-verde/index.html: a is likely about 39.2px tall.","fr/cape-verde/index.html | shared 44px tap target pattern"
"/fr/cape-verde/","fr/cape-verde/index.html","fr/cape-verde","custom_mobile_nav_search","fr/cape-verde/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/cape-verde | assets/js/components/navbar.js adoption"
"/fr/car/cf-paye.html","fr/car/cf-paye.html","fr/country-paye","tap_targets_below_44","fr/car/cf-paye.html: a is likely about 39.2px tall.","fr/car/cf-paye.html | shared 44px tap target pattern"
"/fr/car/cf-paye.html","fr/car/cf-paye.html","fr/country-paye","custom_mobile_nav_search","fr/car/cf-paye.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/country-paye | assets/js/components/navbar.js adoption"
"/fr/car/cf-paye/","fr/car/cf-paye/index.html","fr/car","tap_targets_below_44","fr/car/cf-paye/index.html: a is likely about 39.2px tall.","fr/car/cf-paye/index.html | shared 44px tap target pattern"
"/fr/car/cf-paye/","fr/car/cf-paye/index.html","fr/car","custom_mobile_nav_search","fr/car/cf-paye/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/car | assets/js/components/navbar.js adoption"
"/fr/car/cf-vat.html","fr/car/cf-vat.html","fr/car","tap_targets_below_44","fr/car/cf-vat.html: a is likely about 39.2px tall.","fr/car/cf-vat.html | shared 44px tap target pattern"
"/fr/car/cf-vat.html","fr/car/cf-vat.html","fr/car","custom_mobile_nav_search","fr/car/cf-vat.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/car | assets/js/components/navbar.js adoption"
"/fr/car/cf-vat/","fr/car/cf-vat/index.html","fr/car","tap_targets_below_44","fr/car/cf-vat/index.html: a is likely about 39.2px tall.","fr/car/cf-vat/index.html | shared 44px tap target pattern"
"/fr/car/cf-vat/","fr/car/cf-vat/index.html","fr/car","custom_mobile_nav_search","fr/car/cf-vat/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/car | assets/js/components/navbar.js adoption"
"/fr/central-africa/","fr/central-africa/index.html","fr/central-africa","custom_mobile_nav_search","fr/central-africa/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/central-africa | assets/js/components/navbar.js adoption"
"/fr/central-african-republic/","fr/central-african-republic/index.html","fr/central-african-republic","custom_mobile_nav_search","fr/central-african-republic/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/central-african-republic | assets/js/components/navbar.js adoption"
"/fr/chad/td-vat.html","fr/chad/td-vat.html","fr/chad","custom_mobile_nav_search","fr/chad/td-vat.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/chad | assets/js/components/navbar.js adoption"
"/fr/comoros/","fr/comoros/index.html","fr/comoros","custom_mobile_nav_search","fr/comoros/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/comoros | assets/js/components/navbar.js adoption"
"/fr/comoros/km-vat.html","fr/comoros/km-vat.html","fr/comoros","custom_mobile_nav_search","fr/comoros/km-vat.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/comoros | assets/js/components/navbar.js adoption"
"/fr/compare/egypt-vs-south-africa-tax/","fr/compare/egypt-vs-south-africa-tax/index.html","fr/compare","late_multicolumn_collapse","fr/compare/egypt-vs-south-africa-tax/index.html: .cta-grid keeps 2 columns until 720px.","fr/compare/egypt-vs-south-africa-tax/index.html | shared early-collapse layout pattern"
"/fr/compare/ghana-vs-nigeria-tax/","fr/compare/ghana-vs-nigeria-tax/index.html","fr/compare","late_multicolumn_collapse","fr/compare/ghana-vs-nigeria-tax/index.html: .examples keeps 2 columns until 640px.","fr/compare/ghana-vs-nigeria-tax/index.html | shared early-collapse layout pattern"
"/fr/compare/nigeria-vs-kenya-tax/","fr/compare/nigeria-vs-kenya-tax/index.html","fr/compare","late_multicolumn_collapse","fr/compare/nigeria-vs-kenya-tax/index.html: .verdict-grid keeps 3 columns until 640px.","fr/compare/nigeria-vs-kenya-tax/index.html | shared early-collapse layout pattern"
"/fr/congo/cg-paye.html","fr/congo/cg-paye.html","fr/country-paye","tap_targets_below_44","fr/congo/cg-paye.html: a is likely about 39.2px tall.","fr/congo/cg-paye.html | shared 44px tap target pattern"
"/fr/congo/cg-paye.html","fr/congo/cg-paye.html","fr/country-paye","custom_mobile_nav_search","fr/congo/cg-paye.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/country-paye | assets/js/components/navbar.js adoption"
"/fr/congo/cg-paye/","fr/congo/cg-paye/index.html","fr/congo","tap_targets_below_44","fr/congo/cg-paye/index.html: a is likely about 39.2px tall.","fr/congo/cg-paye/index.html | shared 44px tap target pattern"
"/fr/congo/cg-paye/","fr/congo/cg-paye/index.html","fr/congo","custom_mobile_nav_search","fr/congo/cg-paye/index.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/congo | assets/js/components/navbar.js adoption"
"/fr/congo/cg-vat.html","fr/congo/cg-vat.html","fr/congo","tap_targets_below_44","fr/congo/cg-vat.html: a is likely about 39.2px tall.","fr/congo/cg-vat.html | shared 44px tap target pattern"
"/fr/congo/cg-vat.html","fr/congo/cg-vat.html","fr/congo","custom_mobile_nav_search","fr/congo/cg-vat.html: Page uses custom mobile chrome tokens: search-input, filter-bar.","fr/congo | assets/js/components/navbar.js adoption"
"/fr/congo/cg-vat/","fr/congo/cg-vat/index.html","fr/congo","tap_targets_below_44","fr/congo/cg-vat/index.html: a is likely about 39.2px tall.","fr/congo/cg-vat/index.html | shared 44px tap target pattern"
